Ukrainian,English
як,as
Я,I
його,his
що,that
він,he
було,was
для,for
на,on
є,are
еякі,with
вони,they
бути,be
у,at
один,one
мати,have
це,this
від,from
по,by
гаряча,hot
слово,word
але,but
що,what
деякі,some
вогонь,is
це,it
ви,you
або,or
було,had
план,the
и,of
до,to
і,and
кішка,a
в,in
ми,we
може,can
чере,out
другий,other
були,were
які,which
зробити,do
їх,their
час,time
якщо,if
буде,will
як,how
аначений,said
вона,an
кожен,each
,
скаати,tell
робить,does
набір,set
три,three
хотіти,want
повітря,air
добре,well
також,also
грати,play
невеликої,small
кінець,end
ставити,put
додому,home
читати,read
рука,hand
порт,port
великий,large
аклинань,spell
додавати,add
навіть,even
емля,land
тут,here
повинні,must
великий,big
високий,high
таких,such
слідувати,follow
акт,act
чому,why
спитаєте,ask
чоловіки,men
мінення,change
пішов,went
світло,light
вид,kind
від,off
потрібно,need
будинок,house
картинка,picture
спробуйте,try
нам,us
ову,again
тварин,animal
точка,point
мать,mother
світ,world
рядом,near
будувати,build
самостійно,self
,
емля,earth
батько,father
будь,any
новий,new
робота,work
частина,part
приймати,take
отримувати,get
місце,place
зробив,made
жити,live
де,where
після,after
назад,back
трохи,little
тільки,only
круглий,round
людина,man
рік,year
прийшли,came
шоу,show
кожен,every
добре,good
мене,me
давати,give
наш,our
під,under
ім’я,name
дуже,very
через,through
просто,just
форма,form
вирок,sentence
великий,great
думаю,think
сказати,say
допомогти,help
низький,low
лінія,line
відрізняються,differ
поворот,turn
причиною,cause
багато,much
значить,mean
до,before
хід,move
право,right
хлопчик,boy
старий,old
,
занадто,too
те ж саме,same
вона,she
всі,all
є,there
коли,when
до,up
використання,use
ваш,your
спосіб,way
про це,about
багато,many
потім,then
їх,them
написати,write
б,would
подібно,like
так,so
це,these
її,her
довго,long
робити,make
річ,thing
подивитися,see
його,him
два,two
має,has
дивитися,look
ще,more
день,day
міг,could
йти,go
приходять,come
зробив,did
число,number
звук,sound
немає,no
найбільш,most
люди,people
мій,my
над,over
знаю,know
води,water
ніж,than
Телефонуйте,call
перший,first
хто,who
може,may
вниз,down
сторона,side
,
був,been
зараз,now
знайти,find
керівник,head
стояти,stand
власний,own
сторінка,page
повинен,should
країна,country
знайдено,found
відповідь,answer
школа,school
зростати,grow
дослідження,study
ще,still
дізнатися,learn
завод,plant
кришка,cover
їжа,food
НД,sun
чотири,four
між,between
стан,state
тримати,keep
очей,eye
ніколи,never
останній,last
нехай,let
думка,thought
місто,city
дерево,tree
перетинають,cross
ферма,farm
важко,hard
початок,start
міць,might
історія,story
пила,saw
далеко,far
морі,sea
залучити,draw
зліва,left
пізно,late
пробіг,run
,don’t
в той час як,while
